#META: VIDEO=Videos\MVI_1635.mp4, ROI=(659, 0, 130, 749), TIMESTAMP=20260113_182711
#OUTLIERS:
trajectory_id,point_index,frame_num,x,y
35,20,24150,718,437
35,21,24151,717,462
35,22,24152,720,486
35,23,24153,719,512
35,24,24154,721,539
35,25,24155,721,565
35,26,24156,723,592
35,27,24157,724,618
35,28,24158,724,647
35,29,24159,726,674
35,30,24160,727,703
36,0,24833,707,26
36,1,24834,708,41
36,2,24835,707,58
36,3,24836,709,70
36,4,24837,711,87
36,5,24838,710,106
36,6,24839,712,124
36,7,24840,713,142
36,8,24841,714,160
36,9,24842,717,180
36,10,24843,715,199
36,11,24844,713,219
36,12,24845,717,240
36,13,24846,716,260
36,14,24847,718,280
36,15,24848,719,303
36,16,24849,719,326
36,17,24850,719,348
36,18,24851,720,371
36,19,24852,720,394
36,20,24853,722,418
36,21,24854,723,443
36,22,24855,724,467
36,23,24856,724,491
36,24,24857,725,516
36,25,24858,724,542
36,26,24859,725,568
36,27,24860,727,595
36,28,24861,726,621
36,29,24862,727,648
36,30,24863,728,675
36,31,24864,728,703
37,0,25458,709,19
37,1,25459,710,35
37,2,25460,709,52
37,3,25461,710,68
37,4,25462,710,84
37,5,25463,708,103
37,6,25464,710,121
37,7,25465,711,140
37,8,25466,709,158
37,9,25467,710,179
37,10,25468,710,198
37,11,25469,709,219
37,12,25470,709,241
37,13,25471,708,262
37,14,25472,709,283
37,15,25473,709,307
37,16,25474,708,330
37,17,25475,708,353
37,18,25476,709,377
37,19,25477,707,401
37,20,25478,709,426
37,21,25479,710,451
37,22,25480,709,477
37,23,25481,710,502
37,24,25482,710,529
37,25,25483,710,556
37,26,25484,711,583
37,27,25485,711,610
37,28,25486,711,637
37,29,25487,712,665
37,30,25488,714,692
37,31,25489,715,722
38,0,26103,712,47
38,1,26104,711,62
38,2,26105,710,81
38,3,26107,712,114
38,4,26108,713,131
38,5,26109,713,151
38,6,26110,713,170
38,7,26111,716,191
38,8,26112,714,210
38,9,26113,713,230
38,10,26114,714,252
38,11,26115,713,274
38,12,26116,715,297
38,13,26117,714,318
38,14,26118,713,342
38,15,26119,714,366
38,16,26120,714,390
38,17,26121,714,414
38,18,26122,715,439
38,19,26123,715,464
38,20,26124,717,489
38,21,26125,717,516
38,22,26126,717,542
38,23,26127,718,569
38,24,26128,717,596
38,25,26129,718,623
38,26,26130,717,652
38,27,26131,720,679
38,28,26132,718,708
39,0,27221,702,36
39,1,27222,703,51
39,2,27223,703,68
39,3,27224,701,85
39,4,27226,704,120
39,5,27227,706,138
39,6,27228,706,157
39,7,27229,708,177
39,8,27230,708,198
39,9,27231,708,216
39,10,27232,711,239
39,11,27233,709,259
39,12,27234,712,280
39,13,27235,713,303
39,14,27236,712,326
39,15,27237,714,348
39,16,27238,714,372
39,17,27239,717,394
39,18,27240,719,418
39,19,27241,720,444
39,20,27242,720,468
39,21,27243,721,494
39,22,27244,722,519
39,23,27245,723,545
39,24,27246,725,572
39,25,27247,726,598
39,26,27248,726,625
39,27,27249,727,653
39,28,27250,729,680
39,29,27251,729,708
40,0,27710,710,36
40,1,27711,710,51
40,2,27712,711,68
40,3,27713,712,82
40,4,27715,712,116
40,5,27716,715,134
40,6,27717,714,156
